Id,Label,Longitude,Latitude,Time
Baehr South,Baehr South,-90.56770912,39.91664509,2
Buckeye Bend,Buckeye Bend,-90.20106751,40.35347896,1
C.W. Cooper,C.W. Cooper,-90.05890968,40.39657032,2
Crable,Crable,-90.21745198,40.18528804,2
Emmons ,Emmons ,-90.20484382,40.21173691,1
Eveland,Eveland,-90.1180906,40.34591803,1
Fouts Village,Fouts Village,-90.09937654,40.36367175,1
Houston-Shryock,Houston-Shryock,-89.87942524,40.52620698,1
Kingston Lake,Kingston Lake,-89.7487302,40.55446882,1
Larson,Larson,-90.13555879,40.34151532,1
Lawrenz Gun Club,Lawrenz Gun Club,-90.32909375,40.05832232,1
Morton Village,Morton Village,-90.08812845,40.37138738,2
Myer-Dickson,Myer-Dickson,-90.11864358,40.35062467,1
Orendorf C,Orendorf C,-89.94891242,40.48685729,1
Orendorf D,Orendorf D,-89.94891242,40.48685729,1
Star Bridge,Star Bridge,-90.5740873,39.97553192,2
Ten Mile Creek,Ten Mile Creek,-89.52353409,40.73223864,2
Walsh,Walsh,-90.6488686,39.84572853,1
